Ï»¿MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
BLACK CORPORATION,DECKARD'S DREAM MK2,SUB OSCILLATOR,SUB OSCILLATOR SPEED,,105,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,SUB OSCILLATOR,SUB OSCILLATOR TO VCO AMOUNT,,106,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,SUB OSCILLATOR,SUB OSCILLATOR TO V AMOUNT,,107,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,SUB OSCILLATOR,SUB OSCILLATOR TO VCA AMOUNT,,108,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TONE,MIX I / II,,8,,0,127,,,,,CENTERED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TONE,MASTER BRILLIANCE,,109,,0,127,,,,,CENTERED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TONE,MASTER RESONANCE,,110,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TOUCH RESPONSE,INITIAL PITCHBEND,,111,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TOUCH RESPONSE,AFTERTOUCH TO SUB OSCILLATOR SPEED,,112,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TOUCH RESPONSE,AFTERTOUCH TO VCO AMOUNT,,113,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,TOUCH RESPONSE,AFTERTOUCH TO VCF AMOUNT,,114,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,KEYBOARD CONTROL,"KEYBOARD CONTROL, BRILLIANCE LOW",,115,,0,127,,,,,CENTERED,,
